"external_gene_name"	"length"	"biotype"	"protein_coding"	"antisense"	"processed_pseudogene"	"transcribed_processed_pseudogene"	"X3prime_overlapping_ncRNA"	"lincRNA"	"sense_intronic"	"sense_overlapping"	"miRNA"	"rRNA"	"snRNA"	"snoRNA"	"vaultRNA"	"macro_lncRNA"	"unprocessed_pseudogene"	"TEC"	"misc_RNA"	"processed_transcript"	"bidirectional_promoter_lncRNA"	"transcribed_unprocessed_pseudogene"	"unitary_pseudogene"	"transcribed_unitary_pseudogene"	"polymorphic_pseudogene"	"IG_V_gene"	"pseudogene"	"ribozyme"	"sRNA"	"non_coding"	"scaRNA"	"IG_C_pseudogene"
"12587"	"SNF8"	15801	"protein_coding"	26	10	9	1	0	5	1	0	4	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12589"	"GRIN2C"	19481	"protein_coding"	36	6	2	0	0	1	2	0	1	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12591"	"SAP30BP"	40946	"protein_coding"	38	10	2	0	0	0	1	0	4	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12592"	"ACOX1"	37856	"protein_coding"	35	5	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12594"	"CYGB"	23819	"protein_coding"	26	5	5	0	0	3	2	0	2	0	3	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12596"	"COX11"	16883	"protein_coding"	6	2	3	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12598"	"TMEM100"	12494	"protein_coding"	6	1	1	1	0	2	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12599"	"COG1"	15875	"protein_coding"	7	0	1	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12601"	"PHB"	10856	"protein_coding"	17	10	5	1	0	5	0	0	2	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12603"	"ACSF2"	48687	"protein_coding"	27	12	5	0	0	12	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12605"	"ENGASE"	13660	"protein_coding"	10	4	1	0	0	1	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12607"	"TEPSIN"	10814	"protein_coding"	24	13	1	0	0	11	0	0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12609"	"CA4"	20963	"protein_coding"	13	1	8	2	0	4	1	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12611"	"CD300C"	5035	"protein_coding"	28	7	0	0	0	2	0	0	1	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12613"	"HID1"	22423	"protein_coding"	34	7	2	0	0	1	3	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12615"	"ATP5PD"	8122	"protein_coding"	34	7	2	0	0	1	3	0	3	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12617"	"SRP68"	33878	"protein_coding"	38	9	4	0	0	0	2	0	2	0	1	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12619"	"TMC8"	12198	"protein_coding"	12	0	4	0	0	7	0	0	0	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12621"	"AXIN2"	33084	"protein_coding"	5	1	3	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12623"	"LRRC45"	7849	"protein_coding"	48	16	0	0	0	6	3	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12625"	"ASPSCR1"	40599	"protein_coding"	47	16	0	0	0	7	3	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12627"	"DUS1L"	8381	"protein_coding"	45	15	0	0	0	6	3	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12629"	"RFNG"	3929	"protein_coding"	46	15	0	0	0	6	3	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12631"	"RAC3"	2580	"protein_coding"	47	15	0	0	0	6	3	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12633"	"GPRC5C"	26802	"protein_coding"	24	6	0	0	0	2	0	0	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12635"	"PPM1D"	66097	"protein_coding"	6	4	9	2	0	2	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12637"	"GAA"	18323	"protein_coding"	15	6	4	0	0	7	3	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12639"	"BPTF"	158854	"protein_coding"	10	2	4	0	0	7	1	0	3	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12641"	"RPL38"	7073	"protein_coding"	14	5	0	0	0	7	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12643"	"ENDOV"	22921	"protein_coding"	11	6	4	0	0	4	2	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12645"	"PHOSPHO1"	7404	"protein_coding"	20	9	6	1	0	3	0	0	3	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12647"	"HOXB2"	4095	"protein_coding"	23	10	6	1	0	5	2	0	4	0	4	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12649"	"YPEL2"	70040	"protein_coding"	14	3	3	0	0	2	2	0	4	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12651"	"BAIAP2"	82310	"protein_coding"	15	11	3	0	0	11	0	0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12653"	"YES1"	90958	"protein_coding"	8	5	4	0	0	8	3	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12655"	"CCDC57"	111370	"protein_coding"	47	17	1	0	0	6	4	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12657"	"LRRC37A"	45061	"protein_coding"	13	4	3	0	0	1	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12659"	"METRNL"	15428	"protein_coding"	9	4	0	1	0	8	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12661"	"CASKIN2"	15322	"protein_coding"	39	9	2	0	0	0	3	0	3	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12663"	"GRB2"	87633	"protein_coding"	42	9	2	0	0	0	3	0	3	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12665"	"CD300LB"	10300	"protein_coding"	26	7	0	0	0	2	0	0	1	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12667"	"C17orf62"	8240	"protein_coding"	30	11	1	0	0	7	5	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12669"	"SSTR2"	11621	"protein_coding"	8	4	2	0	0	1	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12671"	"KCTD2"	33314	"protein_coding"	34	7	2	0	0	1	3	0	3	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12672"	"METTL23"	7106	"protein_coding"	18	3	1	0	0	0	1	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12674"	"OGFOD3"	29414	"protein_coding"	36	14	1	0	0	7	5	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12676"	"SGSH"	14207	"protein_coding"	15	6	4	0	0	7	2	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12678"	"TSEN54"	8679	"protein_coding"	38	9	2	0	0	0	3	0	3	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12680"	"EXOC7"	40559	"protein_coding"	37	9	5	0	0	0	2	0	2	0	1	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12682"	"MXRA7"	38465	"protein_coding"	21	4	6	0	0	3	2	0	2	0	4	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12684"	"SKA2"	45318	"protein_coding"	13	3	3	0	0	3	1	0	3	0	6	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12686"	"PYCR1"	10028	"protein_coding"	46	15	0	0	0	7	2	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12688"	"AFMID"	20384	"protein_coding"	13	0	4	0	0	7	0	0	0	0	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12690"	"ACTG1"	13876	"protein_coding"	39	14	0	0	0	14	0	0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12692"	"SEPT9"	220027	"protein_coding"	5	2	1	0	0	10	1	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12694"	"UBALD2"	6097	"protein_coding"	38	9	5	0	0	0	2	0	3	0	3	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12696"	"HGS"	19812	"protein_coding"	43	16	0	0	0	11	0	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12698"	"P4HB"	17535	"protein_coding"	43	15	0	0	0	11	0	0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12700"	"ARL17A"	62980	"protein_coding"	12	2	3	0	0	3	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12702"	"CD300E"	13851	"protein_coding"	30	7	1	0	0	2	0	0	1	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12704"	"MAPT"	133952	"protein_coding"	12	6	5	0	0	4	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12706"	"SIRT7"	9384	"protein_coding"	46	15	0	0	0	7	1	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12708"	"FBF1"	31566	"protein_coding"	35	7	4	0	0	0	0	0	3	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12710"	"SP6"	10966	"protein_coding"	19	10	0	0	0	3	0	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12712"	"KIF19"	29610	"protein_coding"	18	6	0	0	0	5	0	0	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12714"	"MAFG"	9444	"protein_coding"	46	15	0	0	0	7	2	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12716"	"DDX42"	45714	"protein_coding"	27	4	3	2	0	5	0	0	0	0	1	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12718"	"MYL4"	23233	"protein_coding"	14	6	2	0	0	2	1	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12720"	"MAP3K3"	73888	"protein_coding"	27	5	2	3	0	5	0	0	0	0	1	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12722"	"OXLD1"	1599	"protein_coding"	45	16	0	0	0	11	0	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12724"	"MRPL38"	6770	"protein_coding"	36	7	3	0	0	0	0	0	4	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12726"	"LINC02210"	34828	"transcribed_unitary_pseudogene"	15	10	3	0	0	6	1	0	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12728"	"SUPT4H1"	7918	"protein_coding"	23	5	3	0	0	4	0	0	2	0	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12730"	"ARL16"	2750	"protein_coding"	44	16	0	0	0	11	0	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12732"	"AMZ2P1"	9026	"transcribed_unprocessed_pseudogene"	8	3	6	2	0	2	0	0	4	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12734"	"C17orf67"	46860	"protein_coding"	9	3	4	1	0	2	2	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12736"	"LRRC37A4P"	43594	"transcribed_unprocessed_pseudogene"	17	10	3	0	0	6	1	0	2	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12738"	"RNU4-47P"	113	"snRNA"	9	4	1	0	0	8	1	0	3	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12740"	"NDUFAF8"	2042	"protein_coding"	24	13	1	0	0	11	0	0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12742"	"BAIAP2-AS1"	5751	"lincRNA"	13	11	3	0	0	11	0	0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12744"	"MRPL45P2"	41924	"transcribed_unprocessed_pseudogene"	21	10	1	0	0	2	1	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12746"	"TOB1-AS1"	43058	"processed_transcript"	22	7	3	0	0	9	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12748"	"ABCA9-AS1"	98253	"antisense"	9	1	2	0	0	4	0	0	2	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12750"	"HOXB-AS3"	56784	"antisense"	23	10	6	1	0	5	2	0	4	0	4	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12752"	"SP2-AS1"	44080	"antisense"	19	10	0	0	0	3	1	0	2	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12754"	"LINC00674"	13610	"transcribed_unprocessed_pseudogene"	11	2	4	0	0	9	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12756"	"HOXB-AS2"	3071	"antisense"	23	10	6	1	0	5	2	0	4	0	4	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12758"	"NME2"	6312	"protein_coding"	13	3	3	0	0	8	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12760"	"CDK3"	5093	"protein_coding"	36	7	4	0	0	0	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12762"	"POLG2"	19251	"protein_coding"	11	2	6	2	0	4	0	0	5	0	1	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12764"	"CEP95"	35873	"protein_coding"	11	2	6	2	0	2	0	0	5	0	1	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12766"	"HOXB7"	26345	"protein_coding"	22	9	6	1	0	4	2	0	4	0	3	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12768"	"CYCSP40"	593	"processed_pseudogene"	9	3	1	0	0	8	1	0	3	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12770"	"HID1-AS1"	5024	"antisense"	33	7	2	0	0	1	3	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12772"	"SEPT4-AS1"	37140	"antisense"	19	4	4	0	0	2	1	0	2	0	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12774"	"TSPOAP1-AS1"	90316	"antisense"	23	5	4	0	0	5	0	0	2	0	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12776"	"MAFG-AS1"	2924	"antisense"	46	15	0	0	0	7	2	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12778"	"NARF-IT1"	1290	"sense_intronic"	28	11	1	0	0	6	5	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12780"	"MYO15B"	38443	"protein_coding"	39	9	1	0	0	0	3	0	4	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12782"	"RNF157-AS1"	14094	"antisense"	37	9	5	0	0	0	2	0	2	0	1	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12784"	"TBX2-AS1"	18099	"antisense"	6	7	1	0	0	1	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12786"	"RPL9P29"	915	"processed_pseudogene"	12	4	2	0	0	3	0	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12788"	"KCNJ2-AS1"	2441	"antisense"	2	2	3	0	0	4	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12790"	"SPPL2B"	26191	"protein_coding"	34	6	2	1	0	3	4	0	5	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12792"	"MATK"	24159	"protein_coding"	33	5	2	0	0	1	2	0	1	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12794"	"APBA3"	10880	"protein_coding"	31	5	2	0	0	1	2	0	1	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12796"	"RALBP1"	63107	"protein_coding"	8	3	5	0	0	4	2	0	0	2	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12798"	"PNPLA6"	27760	"protein_coding"	39	7	4	0	0	2	0	0	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12800"	"NEDD4L"	357173	"protein_coding"	7	7	4	0	0	9	2	0	2	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12802"	"CTDP1"	76822	"protein_coding"	11	6	1	0	0	7	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12804"	"CNN2"	12487	"protein_coding"	48	10	3	1	0	7	1	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12806"	"SBNO2"	66647	"protein_coding"	50	9	2	1	0	7	1	0	2	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12808"	"AP3D1"	63480	"protein_coding"	32	6	2	1	0	4	2	0	6	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12810"	"TLE2"	49997	"protein_coding"	26	9	4	0	0	0	4	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12812"	"FECH"	38489	"protein_coding"	7	2	2	0	0	6	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12814"	"FSTL3"	7034	"protein_coding"	39	6	4	2	0	7	1	0	2	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12816"	"TCF3"	43315	"protein_coding"	37	10	2	2	0	6	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12818"	"MBD3"	19205	"protein_coding"	38	10	2	2	0	6	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12820"	"ZNF532"	123880	"protein_coding"	10	5	2	0	0	9	2	0	2	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12822"	"MYDGF"	28996	"protein_coding"	29	11	0	0	0	3	0	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12824"	"MOCOS"	84638	"protein_coding"	7	1	3	0	0	2	1	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12826"	"STXBP2"	10992	"protein_coding"	36	7	4	0	0	2	0	0	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12828"	"SIRT6"	8495	"protein_coding"	36	11	1	0	0	1	2	0	2	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12830"	"PIK3C3"	132624	"protein_coding"	1	0	3	0	0	2	1	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12832"	"NDC80"	45124	"protein_coding"	6	4	4	2	0	1	1	0	0	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12834"	"ATP8B1"	156675	"protein_coding"	7	3	2	0	0	5	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12836"	"EPB41L3"	238319	"protein_coding"	5	5	3	0	0	9	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12838"	"RFX2"	206408	"protein_coding"	39	11	5	1	0	0	0	1	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12840"	"GNA11"	29594	"protein_coding"	30	10	4	0	0	1	4	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12842"	"ANKRD24"	41460	"protein_coding"	36	10	1	0	0	1	2	0	2	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12844"	"CERS4"	55685	"protein_coding"	30	9	6	0	0	3	0	0	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12845"	"MCOLN1"	11383	"protein_coding"	27	6	0	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12847"	"TXNL1"	54392	"protein_coding"	3	1	0	0	0	5	0	1	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12849"	"ATP5F1D"	3080	"protein_coding"	44	9	1	1	0	5	1	0	2	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12851"	"TIMM13"	2270	"protein_coding"	32	5	4	1	0	1	4	0	5	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12853"	"POLR2E"	8801	"protein_coding"	48	9	3	1	0	7	1	0	2	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
